OBJECTID,MRoute,MDirection,Effective_Date,Shape__Length
1,1,East,2025/09/01,0.252193897789729
2,1,West,2025/09/01,0.264114391322968
3,2,North,2025/09/01,0.0890383741185022
4,2,South,2025/09/01,0.0909952350963533
5,3,East,2025/09/01,0.15214557563412
6,3,West,2025/09/01,0.148897874114833
7,4,East,2025/09/01,0.208181867772615
8,4,West,2025/09/01,0.204753700930342
9,5,North,2025/09/01,0.172257272559722
10,5,South,2025/09/01,0.191500739807176
11,6,East,2025/09/01,0.130801260315251
12,6,West,2025/09/01,0.111276992758895
13,7,North,2025/09/01,0.268889638431402
14,7,South,2025/09/01,0.272076163521504
15,8,North,2025/09/01,0.14774452288996
16,8,South,2025/09/01,0.145528020074964
17,9,East,2025/09/01,0.174526387426607
18,9,West,2025/09/01,0.174435706945697
19,10,North,2025/09/01,0.218456680548734
20,10,South,2025/09/01,0.220177743096114
21,11,North,2025/09/01,0.174585075280226
22,11,South,2025/09/01,0.17245981973631
23,13,North,2025/09/01,0.186396938602917
24,13,South,2025/09/01,0.185873931472512
25,14,East,2025/09/01,0.100376534794239
26,14,West,2025/09/01,0.185796599121182
27,15,East,2025/09/01,0.133611427584179
28,15,West,2025/09/01,0.123404872367763
29,16,North,2025/09/01,0.111219846180975
30,16,South,2025/09/01,0.110590233399557
31,17,North,2025/09/01,0.0994455941038569
32,17,South,2025/09/01,0.101069086077162
33,18,East,2025/09/01,0.171066916663481
34,18,West,2025/09/01,0.159392431048006
35,20,East,2025/09/01,0.150400634386502
36,20,West,2025/09/01,0.146699306150405
37,22,East,2025/09/01,0.0568923194393366
38,22,West,2025/09/01,0.0665427413303549
39,23,East,2025/09/01,0.13449067899325
40,23,West,2025/09/01,0.130262836836075
41,24,North,2025/09/01,0.175887293180041
42,24,South,2025/09/01,0.1681519249722
43,25,Clockwise,2025/09/01,0.0848136912699843
44,26,East,2025/09/01,0.267600539662567
45,26,West,2025/09/01,0.262222192130014
46,28,North,2025/09/01,0.09063309181988
47,28,South,2025/09/01,0.0847492429931909
48,29,North,2025/09/01,0.144377682492146
49,29,South,2025/09/01,0.174674940894423
50,30,East,2025/09/01,0.163410632555087
51,30,West,2025/09/01,0.156812804755915
52,31,North,2025/09/01,0.0850369923373925
53,31,South,2025/09/01,0.0844899337804631
54,35,East,2025/09/01,0.295182129308328
55,35,West,2025/09/01,0.294439179974284
56,36,North,2025/09/01,0.138981370571542
57,36,South,2025/09/01,0.123931556515612
58,38,North,2025/09/01,0.304762958292775
59,38,South,2025/09/01,0.306226969940593
60,39,East,2025/09/01,0.307731252579128
61,39,West,2025/09/01,0.312576817105221
62,42,East,2025/09/01,0.234042281098879
63,42,West,2025/09/01,0.234143840007602
64,43,North,2025/09/01,0.266390330203857
65,43,South,2025/09/01,0.26571745586559
66,44,North,2025/09/01,0.156804224451431
67,44,South,2025/09/01,0.161732604969107
68,45,North,2025/09/01,0.270245349529647
69,45,South,2025/09/01,0.273887546091935
70,46,North,2025/09/01,0.123854736630287
71,46,South,2025/09/01,0.119477568314772
72,48,North,2025/09/01,0.123272260474509
73,48,South,2025/09/01,0.133333724003182
74,49,East,2025/09/01,0.090434449400249
75,49,West,2025/09/01,0.110679811593447
76,51,North,2025/09/01,0.180992387394823
77,51,South,2025/09/01,0.195421407883447
78,53,North,2025/09/01,0.148062119965527
79,53,South,2025/09/01,0.148953168572708
80,57,East,2025/09/01,0.266575418769343
81,57,West,2025/09/01,0.281173688796583
82,61,North,2025/09/01,0.15908407606903
83,61,South,2025/09/01,0.162452879888524
84,66,North,2025/09/01,0.124674749880092
85,66,South,2025/09/01,0.12382020933432
86,68,North,2025/09/01,0.105915419912384
87,68,South,2025/09/01,0.110614010700621
88,70,East,2025/09/01,0.264399274042803
89,70,West,2025/09/01,0.27599618657999
90,71,East,2025/09/01,0.254960120526095
91,71,West,2025/09/01,0.271658591188541
92,73,North,2025/09/01,0.0716120708023221
93,73,South,2025/09/01,0.0470958563386497
94,74,East,2025/09/01,0.0859634557345232
95,74,West,2025/09/01,0.0735963586447472
96,90,East,2025/09/01,0.0872602246630363
97,90,West,2025/09/01,0.0803143460876719
98,101,East,2025/09/01,0.244401983481015
99,101,West,2025/09/01,0.243302592243033
100,103,North,2025/09/01,0.16039297687231
101,103,South,2025/09/01,0.162234225038284
102,107,North,2025/09/01,0.265056376368389
103,107,South,2025/09/01,0.268460346576579
104,108,North,2025/09/01,0.347543007746868
105,108,South,2025/09/01,0.349983632745348
106,109,North,2025/09/01,0.369204563390956
107,109,South,2025/09/01,0.366216082609063
108,110,North,2025/09/01,0.191698754344862
109,110,South,2025/09/01,0.217691746062671
110,126,East,2025/09/01,0.207965305245897
111,126,West,2025/09/01,0.207747821263978
112,302,West,2025/09/01,0.102326380800901
113,304,West,2025/09/01,0.0665934167721881
114,306,North,2025/09/01,0.0750178718883456
115,306,South,2025/09/01,0.0823031077267853
116,307,East,2025/09/01,0.110101277488979
117,307,West,2025/09/01,0.111425382599565
118,312,East,2025/09/01,0.0785107770858898
119,312,West,2025/09/01,0.077164793661544
120,313,North,2025/09/01,0.0805000280488928
121,313,South,2025/09/01,0.0845973734110913
122,314,North,2025/09/01,0.0627610955240764
123,314,South,2025/09/01,0.0598055020323131
124,315,North,2025/09/01,0.066727304476589
125,315,South,2025/09/01,0.0599754682239625
126,321,North,2025/09/01,0.0495418331327075
127,321,South,2025/09/01,0.0676433758702804
