"District","distinct_go_routes","total_go_stops"
"FAIRVIEW",8,44
"CITY CENTRE",6,59
"COOKSVILLE",6,104
"DIXIE",5,27
"LAKEVIEW",5,69
"MEADOWVALE",5,86
"SOUTH ETOBICOKE",5,53
"APPLEWOOD",4,36
"CENTRAL ERIN MILLS",4,77
"CREDITVIEW",4,36
"ERINDALE",4,56
"GATEWAY",4,51
"MEADOWVALE BUSINESS PARK",4,89
"MISSISSAUGA VALLEYS",4,36
"NORTHEAST 1",4,100
"PORT CREDIT",4,42
"RATHWOOD",4,30
"STREETSVILLE",4,51
"BRAMPTON",3,21
"CHURCHILL MEADOWS",3,44
"CLARKSON - LORNE PARK",3,75
"ERIN MILLS",3,52
"LISGAR",3,16
"MALTON",3,63
"MAVIS - ERINDALE",3,29
"NORTHEAST 2",3,10
"AIRPORT",2,4
"EAST CREDIT",2,34
"MEADOWVALE VILLAGE",2,20
"MINEOLA",2,32
"SOUTHDOWN",2,24
"HURONTARIO",1,18
"NORTH ETOBICOKE",1,29
"SHERIDAN",1,5
