"District","n"
"NORTHEAST 1",213
"GATEWAY",194
"ERIN MILLS",173
"MALTON",169
"MEADOWVALE",155
"HURONTARIO",148
"EAST CREDIT",137
"NORTHEAST 2",130
"SOUTH ETOBICOKE",119
"COOKSVILLE",117
"CLARKSON - LORNE PARK",116
"MEADOWVALE BUSINESS PARK",113
"CENTRAL ERIN MILLS",112
"CHURCHILL MEADOWS",96
"RATHWOOD",76
"APPLEWOOD",72
"CITY CENTRE",72
"ERINDALE",70
"LAKEVIEW",69
"STREETSVILLE",67
"LISGAR",66
"SHERIDAN",63
"MISSISSAUGA VALLEYS",62
"DIXIE",57
"AIRPORT CORPORATE",55
"FAIRVIEW",48
"MEADOWVALE VILLAGE",47
"NORTH ETOBICOKE",46
"PORT CREDIT",42
"CREDITVIEW",36
"MINEOLA",32
"SOUTHDOWN",31
"BRAMPTON",30
"",29
"MAVIS - ERINDALE",29
"WESTERN BUSINESS PARK",27
"AIRPORT",19
"OAKVILLE",11
