"District","utm_stops","utm_bus_occurrences","utm_distinct_routes"
"ERIN MILLS",48,54,5
"STREETSVILLE",36,36,1
"DIXIE",30,39,2
"MEADOWVALE BUSINESS PARK",27,27,1
"COOKSVILLE",23,28,2
"SOUTH ETOBICOKE",23,27,3
"ERINDALE",17,21,2
"APPLEWOOD",13,14,3
"CENTRAL ERIN MILLS",13,13,1
"WESTERN BUSINESS PARK",13,16,2
"SHERIDAN",11,15,3
"MEADOWVALE",10,10,1
"CITY CENTRE",6,6,2
"CLARKSON - LORNE PARK",4,4,1
"MAVIS - ERINDALE",4,5,3
"MISSISSAUGA VALLEYS",3,3,1
"CREDITVIEW",2,2,1
"RATHWOOD",2,2,1
"OAKVILLE",1,2,2
