"District","shelters","total","proportion_sheltered"
"APPLEWOOD",59,72,0.819444444444444
"DIXIE",45,57,0.789473684210526
"MISSISSAUGA VALLEYS",47,62,0.758064516129032
"RATHWOOD",53,76,0.697368421052632
"MEADOWVALE VILLAGE",32,47,0.680851063829787
"CITY CENTRE",47,72,0.652777777777778
"CREDITVIEW",19,36,0.527777777777778
"EAST CREDIT",68,137,0.496350364963504
"CENTRAL ERIN MILLS",53,112,0.473214285714286
"HURONTARIO",70,148,0.472972972972973
"NORTH ETOBICOKE",21,46,0.456521739130435
"AIRPORT CORPORATE",25,55,0.454545454545455
"MEADOWVALE BUSINESS PARK",50,113,0.442477876106195
"SOUTH ETOBICOKE",51,119,0.428571428571429
"GATEWAY",83,194,0.427835051546392
"AIRPORT",8,19,0.421052631578947
"NORTHEAST 1",88,213,0.413145539906103
"COOKSVILLE",48,117,0.41025641025641
"WESTERN BUSINESS PARK",11,27,0.407407407407407
"PORT CREDIT",17,42,0.404761904761905
"MAVIS - ERINDALE",11,29,0.379310344827586
"LAKEVIEW",25,69,0.36231884057971
"MINEOLA",11,32,0.34375
"BRAMPTON",10,30,0.333333333333333
"FAIRVIEW",16,48,0.333333333333333
"SHERIDAN",21,63,0.333333333333333
"ERINDALE",22,70,0.314285714285714
"ERIN MILLS",54,173,0.312138728323699
"CHURCHILL MEADOWS",26,96,0.270833333333333
"CLARKSON - LORNE PARK",30,116,0.258620689655172
"NORTHEAST 2",33,130,0.253846153846154
"MEADOWVALE",38,155,0.245161290322581
"MALTON",38,169,0.224852071005917
"STREETSVILLE",10,67,0.149253731343284
"LISGAR",9,66,0.136363636363636
"OAKVILLE",1,11,0.0909090909090909
"SOUTHDOWN",0,31,0
